,page,frame,time
0,0,0.6088195000193082,0.6088195000193082
1,1,0.2039638999849558,0.812783400004264
2,2,0.3570452000130899,1.169828600017354
3,3,0.17806170001858845,1.3478903000359423
4,4,0.6300304000033066,1.977920700039249
5,5,0.28908119996776804,2.267001900007017
6,6,0.36667150002904236,2.6336734000360593
7,7,0.15839459997368976,2.792068000009749
8,8,0.23309599998174235,3.0251639999914914
9,9,0.2829043000238016,3.308068300015293
10,10,0.3600212999735959,3.668089599988889
11,11,1.3181736000115052,4.986263200000394
12,12,0.3460207000025548,5.332283900002949
13,13,0.36309260001871735,5.695376500021666
14,14,0.45611689996439964,6.151493399986066
15,15,3.1152722000260837,9.26676560001215
16,16,0.25503449997631833,9.521800099988468
17,17,0.17115930002182722,9.692959400010295
18,18,0.2639107999857515,9.956870199996047
19,19,0.16702600003918633,10.123896200035233
20,20,0.22806080000009388,10.351957000035327
21,21,0.1429898999631405,10.494946899998467
22,22,0.23817540000891313,10.73312230000738
23,23,0.23684640001738444,10.969968700024765
24,24,0.22900839999783784,11.198977100022603
